"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1",1-03-20,7,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"2",1-06-20,4,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"3",1-09-20,5,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"4",1-12-20,26,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"5",NA,11,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"6",NA,5,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"7",NA,6,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"8",NA,6,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"9",NA,15,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"10",NA,7,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"11",2-02-20,14,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"12",2-05-20,20,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"13",2-08-20,8,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"14",2-11-20,10,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"15",NA,8,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"16",NA,10,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"17",NA,3,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"18",NA,1,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"19",NA,11,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"20",1-03-20,11,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"21",1-09-20,6,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"22",NA,15,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"23",NA,18,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"24",NA,58,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"25",2-02-20,44,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"26",2-08-20,13,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"27",NA,24,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"28",NA,9,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"29",NA,36,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"30",3-04-20,21,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"31",3-10-20,18,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"32",NA,13,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"33",NA,16,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"34",NA,30,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"35",4-09-20,13,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"36",NA,8,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"37",NA,6,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"38",NA,20,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
"39",5-03-20,29,"Board Of Ed. Bldg.","PM 2.5","Buncombe",35.6062000008935,-82.5844
